%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1779681614390977421,0,1779681614440370201,map,odom,-0.013969870888391602,0.008009768394444106,0.0,0.0,0.0,-0.002336478123106378,0.9999972704312649
1779681614405806443,0,1779681614365177885,odom,base_footprint,1.0488691329956055,2.069633960723877,0.0,0.0,0.0,0.6474275588989258,0.7621270418167114
1779681614428519051,0,1779681614365177885,base_link,wheel_left_link,0.0,0.144,0.023,-0.6225966893222736,-0.33462695511506213,-0.33489353368163,0.623092677258847,0,1779681614365177885,base_link,wheel_right_link,0.0,-0.144,0.023,-0.6770138779454538,0.20311091973080053,0.20327272683273437,0.6775532170105543
1779681614430345506,0,1779681614417177885,odom,base_footprint,1.0488691329956055,2.069633960723877,0.0,0.0,0.0,0.6473549604415894,0.7621886730194092
1779681614440498277,0,1779681614490358563,map,odom,-0.013969870888391602,0.008009768394444106,0.0,0.0,0.0,-0.002336478123106378,0.9999972704312649
1779681614449831577,0,1779681614417177885,base_link,wheel_left_link,0.0,0.144,0.023,-0.6225966893222736,-0.33462695511506213,-0.33489353368163,0.623092677258847,0,1779681614417177885,base_link,wheel_right_link,0.0,-0.144,0.023,-0.6770138779454538,0.20311091973080053,0.20327272683273437,0.6775532170105543
1779681614489736619,0,1779681614451177885,odom,base_footprint,1.0488691329956055,2.069633960723877,0.0,0.0,0.0,0.6473944783210754,0.7621551156044006
1779681614490695975,0,1779681614540357454,map,odom,-0.013969870888391602,0.008009768394444106,0.0,0.0,0.0,-0.002336478123106378,0.9999972704312649
1779681614508126255,0,1779681614505177885,odom,base_footprint,1.0488731861114502,2.0696589946746826,0.0,0.0,0.0,0.647443413734436,0.7621135711669922
1779681614516707497,0,1779681614451177885,base_link,wheel_left_link,0.0,0.144,0.023,-0.6225966893222736,-0.33462695511506213,-0.33489353368163,0.623092677258847,0,1779681614451177885,base_link,wheel_right_link,0.0,-0.144,0.023,-0.6770138779454538,0.20311091973080053,0.20327272683273437,0.6775532170105543
1779681614529637286,0,1779681614505177885,base_link,wheel_left_link,0.0,0.144,0.023,-0.6228530828877991,-0.33414947820069674,-0.3344156763881306,0.6233492750787762,0,1779681614505177885,base_link,wheel_right_link,0.0,-0.144,0.023,-0.6770138779454538,0.20311091973080053,0.20327272683273437,0.6775532170105543
1779681614540647806,0,1779681614590376869,map,odom,-0.013969870888391602,0.008009768394444106,0.0,0.0,0.0,-0.002336478123106378,0.9999972704312649
1779681614568490847,0,1779681614539177885,odom,base_footprint,1.0488691329956055,2.069633960723877,0.0,0.0,0.0,0.6474254727363586,0.7621287703514099
1779681614588476065,0,1779681614539177885,base_link,wheel_left_link,0.0,0.144,0.023,-0.6225966893222736,-0.33462695511506213,-0.33489353368163,0.623092677258847,0,1779681614539177885,base_link,wheel_right_link,0.0,-0.144,0.023,-0.6770138779454538,0.20311091973080053,0.20327272683273437,0.6775532170105543
1779681614590680839,0,1779681614640375876,map,odom,-0.013969870888391602,0.008009768394444106,0.0,0.0,0.0,-0.002336478123106378,0.9999972704312649
1779681614600546031,0,1779681614594177885,odom,base_footprint,1.0488691329956055,2.069633960723877,0.0,0.0,0.0,0.6473560929298401,0.7621877193450928
1779681614617444935,0,1779681614594177885,base_link,wheel_left_link,0.0,0.144,0.023,-0.6225966893222736,-0.33462695511506213,-0.33489353368163,0.623092677258847,0,1779681614594177885,base_link,wheel_right_link,0.0,-0.144,0.023,-0.6770138779454538,0.20311091973080053,0.20327272683273437,0.6775532170105543
1779681614640869567,0,1779681614690373352,map,odom,-0.013969870888391602,0.008009768394444106,0.0,0.0,0.0,-0.002336478123106378,0.9999972704312649
1779681614659720607,0,1779681614628177885,odom,base_footprint,1.0488691329956055,2.069633960723877,0.0,0.0,0.0,0.6473966836929321,0.7621532082557678
1779681614682814875,0,1779681614628177885,base_link,wheel_left_link,0.0,0.144,0.023,-0.6225966893222736,-0.33462695511506213,-0.33489353368163,0.623092677258847,0,1779681614628177885,base_link,wheel_right_link,0.0,-0.144,0.023,-0.6770138779454538,0.20311091973080053,0.20327272683273437,0.6775532170105543
1779681614683917741,0,1779681614669517095,odom,base_footprint,1.0488731861114502,2.0696589946746826,0.0,0.0,0.0,0.6474412679672241,0.7621153593063354
1779681614690584251,0,1779681614740360179,map,odom,-0.013969870888391602,0.008009768394444106,0.0,0.0,0.0,-0.002336478123106378,0.9999972704312649
1779681614703713114,0,1779681614669517095,base_link,wheel_left_link,0.0,0.144,0.023,-0.6228530828877991,-0.33414947820069674,-0.3344156763881306,0.6233492750787762,0,1779681614669517095,base_link,wheel_right_link,0.0,-0.144,0.023,-0.6770138779454538,0.20311091973080053,0.20327272683273437,0.6775532170105543
1779681614740774437,0,1779681614790439022,map,odom,-0.013969870888391602,0.008009768394444106,0.0,0.0,0.0,-0.002336478123106378,0.9999972704312649
1779681614744522789,0,1779681614703517095,odom,base_footprint,1.0488691329956055,2.069633960723877,0.0,0.0,0.0,0.6474143266677856,0.7621382474899292
1779681614766060015,0,1779681614703517095,base_link,wheel_left_link,0.0,0.144,0.023,-0.6225966893222736,-0.33462695511506213,-0.33489353368163,0.623092677258847,0,1779681614703517095,base_link,wheel_right_link,0.0,-0.144,0.023,-0.6770138779454538,0.20311091973080053,0.20327272683273437,0.6775532170105543
1779681614773433820,0,1779681614759517095,odom,base_footprint,1.0488691329956055,2.069633960723877,0.0,0.0,0.0,0.647374153137207,0.7621723413467407
1779681614790625792,0,1779681614840361910,map,odom,-0.0061938366095668895,0.001642262880932092,0.0,0.0,0.0,-0.0007820433111545743,0.999999694204083
1779681614791778690,0,1779681614759517095,base_link,wheel_left_link,0.0,0.144,0.023,-0.6225966893222736,-0.33462695511506213,-0.33489353368163,0.623092677258847,0,1779681614759517095,base_link,wheel_right_link,0.0,-0.144,0.023,-0.6770138779454538,0.20311091973080053,0.20327272683273437,0.6775532170105543
1779681614830311580,0,1779681614793517095,odom,base_footprint,1.0488731861114502,2.0696589946746826,0.0,0.0,0.0,0.6473826766014099,0.7621651291847229
1779681614840487014,0,1779681614890351026,map,odom,-0.0061938366095668895,0.001642262880932092,0.0,0.0,0.0,-0.0007820433111545743,0.999999694204083
1779681614854462874,0,1779681614793517095,base_link,wheel_left_link,0.0,0.144,0.023,-0.6228530828877991,-0.33414947820069674,-0.3344156763881306,0.6233492750787762,0,1779681614793517095,base_link,wheel_right_link,0.0,-0.144,0.023,-0.6770138779454538,0.20311091973080053,0.20327272683273437,0.6775532170105543
1779681614861336721,0,1779681614848517095,odom,base_footprint,1.0488731861114502,2.0696589946746826,0.0,0.0,0.0,0.647433876991272,0.7621216773986816
1779681614879984271,0,1779681614848517095,base_link,wheel_left_link,0.0,0.144,0.023,-0.6228530828877991,-0.33414947820069674,-0.3344156763881306,0.6233492750787762,0,1779681614848517095,base_link,wheel_right_link,0.0,-0.144,0.023,-0.6770138779454538,0.20311091973080053,0.20327272683273437,0.6775532170105543
1779681614890822192,0,1779681614940422179,map,odom,-0.0061938366095668895,0.001642262880932092,0.0,0.0,0.0,-0.0007820433111545743,0.999999694204083
1779681614921375413,0,1779681614882517095,odom,base_footprint,1.0488691329956055,2.069633960723877,0.0,0.0,0.0,0.6474151611328125,0.7621375322341919
1779681614940679352,0,1779681614990360168,map,odom,-0.0061938366095668895,0.001642262880932092,0.0,0.0,0.0,-0.0007820433111545743,0.999999694204083
1779681614943980720,0,1779681614882517095,base_link,wheel_left_link,0.0,0.144,0.023,-0.6225966893222736,-0.33462695511506213,-0.33489353368163,0.623092677258847,0,1779681614882517095,base_link,wheel_right_link,0.0,-0.144,0.023,-0.6770138779454538,0.20311091973080053,0.20327272683273437,0.6775532170105543
1779681614945643887,0,1779681614929517095,odom,base_footprint,1.0488691329956055,2.069633960723877,0.0,0.0,0.0,0.6473609209060669,0.7621836066246033
1779681614966294495,0,1779681614929517095,base_link,wheel_left_link,0.0,0.144,0.023,-0.6225966893222736,-0.33462695511506213,-0.33489353368163,0.623092677258847,0,1779681614929517095,base_link,wheel_right_link,0.0,-0.144,0.023,-0.6770138779454538,0.20311091973080053,0.20327272683273437,0.6775532170105543
1779681614990628453,0,1779681615040360673,map,odom,-0.0061938366095668895,0.001642262880932092,0.0,0.0,0.0,-0.0007820433111545743,0.999999694204083
1779681615005472349,0,1779681614963517095,odom,base_footprint,1.0488731861114502,2.0696589946746826,0.0,0.0,0.0,0.6473981142044067,0.7621519565582275
