%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1779682683094202595,0,1779682683064441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289134979248047,0.8486757278442383
1779682683121967709,0,1779682683112441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5288811922073364,0.8486958742141724
1779682683178895401,0,1779682683146441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289104580879211,0.8486776351928711
1779682683201330897,0,1779682683196441215,odom,base_footprint,0.3593686521053314,3.1629974842071533,0.0,0.0,0.0,0.5289480686187744,0.8486541509628296
1779682683257764575,0,1779682683230441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289092659950256,0.8486784100532532
1779682683285139937,0,1779682683277441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289571285247803,0.8486485481262207
1779682683342984784,0,1779682683312441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289214849472046,0.8486707806587219
1779682683359134651,0,1779682683355441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5288808345794678,0.8486961126327515
1779682683418990779,0,1779682683389441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289008617401123,0.8486835956573486
1779682683446172161,0,1779682683443441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289146900177002,0.848675012588501
1779682683503104125,0,1779682683477441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289108753204346,0.848677396774292
1779682683524673969,0,1779682683517441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5288888216018677,0.8486911058425903
1779682683581147559,0,1779682683551441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289100408554077,0.8486778736114502
1779682683603625471,0,1779682683600441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289151668548584,0.8486747145652771
1779682683663762408,0,1779682683634441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289186835289001,0.8486725091934204
1779682683691242510,0,1779682683684441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289685726165771,0.8486413955688477
1779682683749088076,0,1779682683718441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289276242256165,0.8486669659614563
1779682683771060679,0,1779682683762441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5288822054862976,0.8486952185630798
1779682683826807228,0,1779682683796441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289069414138794,0.848679780960083
1779682683848808589,0,1779682683846441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.528914213180542,0.8486753106117249
1779682683907202943,0,1779682683880441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289080739021301,0.8486791253089905
1779682683935624310,0,1779682683929441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.528905987739563,0.8486804366111755
1779682683991934029,0,1779682683963441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289120078086853,0.8486766815185547
1779682684013605589,0,1779682684009441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5288623571395874,0.8487076163291931
1779682684072563706,0,1779682684043441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289016366004944,0.8486831784248352
1779682684098955139,0,1779682684091441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289111733436584,0.8486772179603577
1779682684155679156,0,1779682684125441215,odom,base_footprint,0.3593686521053314,3.1629974842071533,0.0,0.0,0.0,0.52891606092453,0.8486741185188293
1779682684172356592,0,1779682684169441215,odom,base_footprint,0.3593686521053314,3.1629974842071533,0.0,0.0,0.0,0.5289353132247925,0.8486621379852295
1779682684229051807,0,1779682684203441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289199948310852,0.8486717343330383
1779682684269366752,0,1779682684259441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289224982261658,0.8486701250076294
1779682684325321216,0,1779682684294441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289047956466675,0.8486811518669128
1779682684347279245,0,1779682684344441215,odom,base_footprint,0.3593686521053314,3.1629974842071533,0.0,0.0,0.0,0.5289467573165894,0.8486550450325012
1779682684407182352,0,1779682684378441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289304852485657,0.848665177822113
1779682684435264846,0,1779682684424441215,odom,base_footprint,0.3593686521053314,3.1629974842071533,0.0,0.0,0.0,0.5289616584777832,0.8486457467079163
1779682684492336523,0,1779682684458441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289153456687927,0.8486745953559875
1779682684508390908,0,1779682684505441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289182066917419,0.8486728072166443
1779682684565659534,0,1779682684539441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289103388786316,0.8486777544021606
1779682684604955804,0,1779682684594441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289544463157654,0.8486502170562744
1779682684665389166,0,1779682684628441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289208292961121,0.8486711978912354
1779682684682338307,0,1779682684677441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289129614830017,0.8486760854721069
1779682684740554142,0,1779682684711441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289157629013062,0.8486742973327637
1779682684768629225,0,1779682684764441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289528369903564,0.8486512303352356
1779682684825528915,0,1779682684798441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289162993431091,0.8486739993095398
1779682684847851868,0,1779682684843441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289546251296997,0.8486500978469849
1779682684906174282,0,1779682684877441215,odom,base_footprint,0.3593686521053314,3.1629974842071533,0.0,0.0,0.0,0.5289223790168762,0.8486701846122742
1779682684932514806,0,1779682684924441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5289779305458069,0.8486355543136597
1779682684990222721,0,1779682684958441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.528925895690918,0.8486680388450623
1779682685012261076,0,1779682685007441215,odom,base_footprint,0.3593575060367584,3.1629748344421387,0.0,0.0,0.0,0.5288920998573303,0.848689079284668
