%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6
1780961394915608834,197729,1780961394790460638,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-322.8000183105469,-67.25,0.0
1780961394928915276,197730,1780961394920460638,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-322.8000183105469,-67.25,0.0
1780961394979788910,197731,1780961394952460638,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-322.8000183105469,-69.94000244140625,0.0
1780961395009294974,197732,1780961395023460638,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-320.1100158691406,-67.25,0.0
1780961395099178318,197733,1780961395057460638,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-325.4900207519531,-67.25,0.0
1780961395182082172,197734,1780961395091460638,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-322.8000183105469,-67.25,0.0
1780961395219254695,197735,1780961395161460638,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5508545637130737,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-325.4900207519531,-75.31999969482422,0.0
1780961395317780937,197736,1780961395290460638,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-322.8000183105469,-67.25,0.0
1780961395414320055,197737,1780961395391238054,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-325.4900207519531,-67.25,0.0
1780961395443653099,197738,1780961395488238054,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5508545637130737,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-325.4900207519531,-69.94000244140625,0.0
1780961395528142419,197739,1780961395522238054,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-322.8000183105469,-67.25,0.0
1780961395572578541,197740,1780961395618238054,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-322.8000183105469,-67.25,0.0
1780961395669721306,197741,1780961395652238054,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-325.4900207519531,-69.94000244140625,0.0
1780961395700475016,197742,1780961395740238054,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-322.8000183105469,-67.25,0.0
1780961395799746912,197743,1780961395774238054,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01000213623047,-325.4900207519531,-67.25,0.0
1780961395835755697,197744,1780961395878238054,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-322.8000183105469,-67.25,0.0
1780961395932436296,197745,1780961395912238054,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-322.8000183105469,-67.25,0.0
1780961395969391112,197746,1780961396011238054,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-325.4900207519531,-67.25,0.0
1780961396064364133,197747,1780961396045238054,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5493206977844238,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6300048828125,-322.8000183105469,-67.25,0.0
1780961396102146633,197748,1780961396143238054,base_link,wheel_left_joint,wheel_right_joint,joint1,joint2,joint3,joint4,gripper,0.007669905200600624,0.0,0.003067961661145091,-1.5508545637130737,1.2348545789718628,0.5921165943145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31999969482422,-322.8000183105469,-67.25,0.0
