time,x,y,z,pitch,vx,vy,vz,pitch_rate
0.02,0.249211254701595,0.0003822763987745573,-0.0348959103379291,0.2807038317044862,0.00013239955354506602,-7.14989710796688e-07,0.0004019300309316745,-0.0014601874681189656
0.04,0.24921522115772712,0.00038225497894913606,-0.03488386922605841,0.28066008707407114,0.0002641354501801317,-1.4263955132685805e-06,0.0008018453749915111,-0.0029130557008087638
0.06,0.2492218156952228,0.0003822193668467487,-0.03486384995417525,0.2805873582713567,0.00039520768990519706,-2.1342174074156776e-06,0.0011997460321795095,-0.004358604698069393
0.08,0.2492310250409439,0.0003821696341455616,-0.034835892816017046,0.28048579168105126,0.0005256162727202621,-2.8384553932379793e-06,0.0015956320024956702,-0.005796834459900856
0.1,0.24924283592175223,0.0003821058525237413,-0.034800038105321236,0.28035553368786353,0.0006553611986253268,-3.5391094707354863e-06,0.001989503285939993,-0.007227744986303151
0.12,0.24925723506450956,0.00038202809365945435,-0.034756326115825256,0.28019673067650197,0.0007844424676203911,-4.236179639908197e-06,0.0023813598825124776,-0.008651336277276277
0.14,0.24927420919607765,0.00038193642923086714,-0.03470479714126655,0.2800095290316753,0.0009128600797054553,-4.929665900756112e-06,0.0027712017922131246,-0.010067608332820237
0.16,0.24929374504331836,0.00038183093091614625,-0.034645491475382546,0.279794075138092,0.0010406140348805189,-5.619568253279232e-06,0.003159029015041933,-0.011476561152935029
0.18,0.24931582933309346,0.00038171167039345816,-0.03457844941191068,0.2795505153804608,0.001167704333145582,-6.305886697477556e-06,0.0035448415509989036,-0.012878194737620651
0.2,0.24934044879226477,0.0003815787193409693,-0.034503711244588404,0.2792789961434901,0.0012941309745006452,-6.988621233351086e-06,0.0039286394000840365,-0.014272509086877107
0.22,0.2493675901476941,0.0003814321494368463,-0.03442131726715313,0.27897966381188855,0.0014198939589457078,-7.667771860899819e-06,0.0043104225622973315,-0.015659504200704395
0.24,0.2493972401262432,0.0003812720323592555,-0.034331307773342326,0.27865266477036477,0.0015449932864807702,-8.343338580123757e-06,0.004690191037638788,-0.017039180079102514
0.26,0.24942938545477394,0.0003810984397863635,-0.03423372305689339,0.2782981454036273,0.0016694289571058322,-9.015321391022901e-06,0.005067944826108407,-0.01841153672207147
0.28,0.24946401286014805,0.00038091144339633674,-0.0341286034115438,0.27791625209638476,0.0017932009708208944,-9.683720293597249e-06,0.005443683927706188,-0.019776574129611254
0.3,0.24950110906922737,0.00038071111486734176,-0.03401598913103096,0.27750713123334575,0.0019163093276259556,-1.03485352878468e-05,0.00581740834243213,-0.02113429230172187
