time,x,y,z,pitch
0.0,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
0.03153111,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
0.067297275,0.24900837795918987,0.00038197437804900783,-0.035282063260199975,0.2791844606399536
0.16458784,0.24900837795918987,0.00038197437804900783,-0.035282063260199975,0.2791844606399536
0.191714544,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
0.291633264,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
0.325329681,0.24920904997701518,0.0007645662097394875,-0.03489993299604987,0.28071844577789307
0.42026462,0.24900837795918987,0.00038197437804900783,-0.035282063260199975,0.2791844606399536
0.448949304,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
0.542392698,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
0.587659403,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
0.682074646,0.24900837795918987,0.00038197437804900783,-0.035282063260199975,0.2791844606399536
0.704076833,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
0.799400173,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
0.834613138,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
0.931753181,0.24920904997701518,0.0007645662097394875,-0.03489993299604987,0.28071844577789307
0.9716232,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
1.062308989,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
1.113540692,0.24900837795918987,0.00038197437804900783,-0.035282063260199975,0.2791844606399536
1.212110653,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
1.235579273,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
1.332295412,0.24900837795918987,0.00038197437804900783,-0.035282063260199975,0.2791844606399536
1.367776014,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
1.464702939,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
1.512533241,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
1.606736108,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
1.6350027,0.24900837795918987,0.00038197437804900783,-0.035282063260199975,0.2791844606399536
1.731026725,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
1.767796192,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
1.861875207,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
1.898411389,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
1.992231671,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
2.038248823,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
2.133311093,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
2.161396394,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
2.257039366,0.24900837795918987,0.00038197437804900783,-0.035282063260199975,0.2791844606399536
2.294174092,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
2.390064506,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
2.424946125,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
2.520428301,0.2491530859462416,0.000382196357501289,-0.0347033529853993,0.2822524309158325
2.557341751,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
2.651948259,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
2.688051771,0.24900837795918987,0.00038197437804900783,-0.035282063260199975,0.2791844606399536
2.768035191,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
2.791980322,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
2.850301591,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
2.873753779,0.2492099295999647,0.0003822835546448344,-0.03489993299604987,0.28071844577789307
