time,joint1,joint2,joint3,joint4,joint1_velocity,joint2_velocity,joint3_velocity,joint4_velocity,x,y,z,pitch
0.46,-0.0030386978129664567,-1.3903142293820578,1.1212696453083784,0.5043324113121723,0.00012469826045526135,0.08926370676414103,-0.059128596975341154,-0.06030892720470787,0.2726337481820935,-0.0008284541242379855,-0.03364710621832773,0.23528782723849284
0.48,-0.0030361530346423387,-1.3884925813071411,1.1200629791418335,0.5031016575699707,0.00012977477826643736,0.09289766922380446,-0.06153574663885116,-0.06276412860054016,0.27290640882718,-0.0008285881673730052,-0.03361068518154117,0.23467205540466307
0.5,-0.003033507013583403,-1.3865984598732555,1.1188083063644356,0.5018219389047474,0.00013482253393704013,0.09651104266103357,-0.06392925806064159,-0.06520541950687767,0.2731897339437347,-0.000828725515981787,-0.03357236384792627,0.2340317853959275
0.52,-0.003030760325032461,-1.3846322768608492,1.1175058997410194,0.5004935335262922,0.00013984152746706967,0.10010382707582831,-0.0663091312407124,-0.06763279992372036,0.27348363962306904,-0.0008288659023681271,-0.033532098055851,0.23336715640646244
0.54,-0.003027913544232324,-1.382594444050372,1.1161560320364188,0.4991167196443952,0.000144831758856526,0.1036760224681887,-0.06867536617906363,-0.07004626985106827,0.27378804109814886,-0.0008290090514150973,-0.03348984209358695,0.23267830763044206
0.56,-0.0030249672464258037,-1.3804853732222713,1.1147589760154681,0.49769177546884613,0.00014979322810540908,0.10722762883811474,-0.07102796287569524,-0.07244582928892136,0.27410285274148116,-0.0008291546807361475,-0.033445548741146344,0.231965378262043
0.58,-0.0030219220068557115,-1.3783054761569966,1.1133150044430022,0.496218979209435,0.0001547259352137189,0.1107586461856064,-0.07336692133060724,-0.07483147823727965,0.27442798806267904,-0.0008293025008255831,-0.03339916931206042,0.2312285074954406
0.6,-0.0030187784007648585,-1.3760551646349966,1.1118243900838556,0.4946986090759516,0.00015962988018145552,0.11426907451066373,-0.07569224154379964,-0.07720321669614315,0.27476335970573423,-0.0008294522152085007,-0.033350653695097,0.23046783452481062
0.62,-0.0030155370033960573,-1.3737348504367197,1.1102874057028618,0.49313094327818585,0.0001645050630086189,0.11775891381328671,-0.07800392351527244,-0.07956104466551185,0.2751088794460224,-0.0008296035205902523,-0.03329995039592205,0.2296834985443279
0.64,-0.003012198389992118,-1.3713449453426148,1.108704324064856,0.49151626002592774,0.00016935148369520903,0.12122816409347532,-0.08030196724502564,-0.08190496214538574,0.27546445818707066,-0.0008297561070055176,-0.03324700657870459,0.22887563874816896
0.66,-0.0030087631357958527,-1.3688858611331303,1.1070754179346722,0.4898548375289671,0.00017416914224122594,0.12467682535122959,-0.08258637273305924,-0.08423496913576484,0.27583000595711166,-0.000829909657967059,-0.03319176810766977,0.22804439433050905
0.68,-0.0030052318160500727,-1.3663580095887151,1.105400960077145,0.4881469539970938,0.00017895803864666958,0.1281048975865495,-0.08485713997937323,-0.08655106563664915,0.2762054319054507,-0.000830063850614225,-0.0331341795885987,0.22718990448552373
