%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1779692047120759341,0.0,0.0,0.0,0.0,0.0,0.0
1779692047216572847,0.0,0.0,0.0,0.0,0.0,0.0
1779692047315418933,0.0,0.0,0.0,0.0,0.0,0.0
1779692047406331834,0.0,0.0,0.0,0.0,0.0,0.35
1779692047506680493,0.0,0.0,0.0,0.0,0.0,0.35
1779692047606568183,0.0,0.0,0.0,0.0,0.0,0.35
1779692047706763313,0.0,0.0,0.0,0.0,0.0,0.35
1779692047807052164,0.0,0.0,0.0,0.0,0.0,0.35
1779692047906356389,0.0,0.0,0.0,0.0,0.0,0.35
1779692048006530530,0.0,0.0,0.0,0.0,0.0,0.35
1779692048106323467,0.0,0.0,0.0,0.0,0.0,0.3291415465335945
1779692048206435665,0.0,0.0,0.0,0.0,0.0,0.2907795101832087
1779692048306366667,0.0,0.0,0.0,0.0,0.0,0.24925174887742507
1779692048406328894,0.0,0.0,0.0,0.0,0.0,0.21169863383803644
1779692048506446209,0.0,0.0,0.0,0.0,0.0,0.17693235036369537
1779692048606840522,0.0,0.0,0.0,0.0,0.0,0.14771664192929368
1779692048706981544,0.0,0.0,0.0,0.0,0.0,0.21200930273353547
1779692048806464453,0.0,0.0,0.0,0.0,0.0,0.2638349951199991
1779692048906692434,0.0,0.0,0.0,0.0,0.0,0.24386057066429
1779692049006417607,0.0,0.0,0.0,0.0,0.0,0.2019919681449437
1779692049106568505,0.0,0.0,0.0,0.0,0.0,0.1692950567523025
1779692049206589954,0.0,0.0,0.0,0.0,0.0,0.14169776647612886
1779692049306522447,0.0,0.0,0.0,0.0,0.0,0.11485577578558082
1779692049406590983,0.0,0.0,0.0,0.0,0.0,0.09473789223762452
1779692049506469467,0.01963529672207528,0.0,0.0,0.0,0.0,0.0737069920620006
1779692049610180820,0.01963627242850385,0.0,0.0,0.0,0.0,0.07762877283000036
1779692049706373669,0.0,0.0,0.0,0.0,0.0,0.16159386496049177
1779692049806704156,0.0,0.0,0.0,0.0,0.0,0.23857793098123525
1779692049906200441,0.0,0.0,0.0,0.0,0.0,0.22794966206226874
1779692050006262524,0.0,0.0,0.0,0.0,0.0,0.19715973487168204
1779692050106256574,0.0,0.0,0.0,0.0,0.0,0.1679358491208467
1779692050206564504,0.0,0.0,0.0,0.0,0.0,0.14387901827595595
1779692050307022603,0.0,0.0,0.0,0.0,0.0,0.11878733647929851
1779692050406790792,0.0,0.0,0.0,0.0,0.0,0.09650252872413279
1779692050507343412,0.019052105114319855,0.0,0.0,0.0,0.0,0.07993723088580784
1779692050607757508,0.019055895711647182,0.0,0.0,0.0,0.0,0.06464974496672438
1779692050706750558,0.018919313419154236,0.0,0.0,0.0,0.0,0.05105040583364273
1779692050806449966,0.018695442325929457,0.0,0.0,0.0,0.0,0.04565202657472667
1779692050906420515,0.018285543085785547,0.0,0.0,0.0,0.0,0.033854043501247766
1779692051006473275,0.018038812985627702,0.0,0.0,0.0,0.0,0.028246074801022036
1779692051115742299,0.0,0.0,0.0,0.0,0.0,0.0
1779692051206452405,0.0,0.0,0.0,0.0,0.0,-0.18735441620111382
1779692051306866945,0.0,0.0,0.0,0.0,0.0,-0.19209987407239748
1779692051406444644,0.0,0.0,0.0,0.0,0.0,-0.1871344501607175
1779692051506610595,0.0,0.0,0.0,0.0,0.0,-0.158428302650225
1779692051606617900,0.0,0.0,0.0,0.0,0.0,-0.13657595390440624
1779692051706564754,0.0,0.0,0.0,0.0,0.0,-0.11562342886228216
1779692051806504897,0.0,0.0,0.0,0.0,0.0,-0.09711644068147784
1779692051906853392,0.024292567839605025,0.0,0.0,0.0,0.0,-0.07422098457598636
1779692052006704316,0.024300160790612247,0.0,0.0,0.0,0.0,-0.06185266098569697
1779692052106160807,0.023939699770140748,0.0,0.0,0.0,0.0,-0.04427072162053591
1779692052206516332,0.023632273653947326,0.0,0.0,0.0,0.0,-0.035996761537577804
1779692052306603560,0.023294465042623124,0.0,0.0,0.0,0.0,-0.027802070734293638
1779692052406189493,0.02297558616502997,0.0,0.0,0.0,0.0,-0.02221494507831745
1779692052506308454,0.02269845760964432,0.0,0.0,0.0,0.0,-0.018857340447392512
1779692052606293376,0.02226186824970959,0.0,0.0,0.0,0.0,-0.014396447997292783
1779692052706199787,0.021965723063859723,0.0,0.0,0.0,0.0,-0.0116405609651693
1779692052806254492,0.02163542384842082,0.0,0.0,0.0,0.0,-0.008929997604599005
1779692052906348315,0.021335506534496066,0.0,0.0,0.0,0.0,-0.00646923923668008
1779692053006204436,0.02089512414102222,0.0,0.0,0.0,0.0,-0.0050997476225631555
1779692053106200083,0.020621751870704964,0.0,0.0,0.0,0.0,-0.004402944095729722
1779692053206257086,0.020344578459734603,0.0,0.0,0.0,0.0,-0.003456442246180802
1779692053306335918,0.020082613226310272,0.0,0.0,0.0,0.0,-0.0032095803825585856
1779692053406281533,0.01971813704106271,0.0,0.0,0.0,0.0,-0.002665729916429105
1779692053506226536,0.01947134906113526,0.0,0.0,0.0,0.0,-0.0021885811195692106
1779692053606570266,0.019254936252956118,0.0,0.0,0.0,0.0,-0.002580727842488195
1779692053706804554,0.018905657123099225,0.0,0.0,0.0,0.0,-0.002496750763736011
1779692053806532999,0.01848805128865401,0.0,0.0,0.0,0.0,-0.0022838115264330883
1779692053906758036,0.018252679587042592,0.0,0.0,0.0,0.0,-0.0025170529661865393
1779692054006601080,0.01801730511144729,0.0,0.0,0.0,0.0,-0.0023021730800569795
1779692054116640769,0.0,0.0,0.0,0.0,0.0,0.0
1779692054206489547,0.0,0.0,0.0,0.0,0.0,-0.1475167306611609
1779692054306418701,0.0,0.0,0.0,0.0,0.0,-0.14814275394831666
1779692054406478332,0.0,0.0,0.0,0.0,0.0,-0.14419268221812664
1779692054507083246,0.0,0.0,0.0,0.0,0.0,-0.12845174744490995
1779692054606631741,0.0,0.0,0.0,0.0,0.0,-0.11103187109694101
1779692054706758074,0.0,0.0,0.0,0.0,0.0,-0.09322665668458041
1779692054806303191,0.02459622286378697,0.0,0.0,0.0,0.0,-0.06968567033364115
1779692054906193609,0.02459244341388666,0.0,0.0,0.0,0.0,-0.05797619329494563
1779692055006550540,0.024425499769143325,0.0,0.0,0.0,0.0,-0.04727132712318194
1779692055106700584,0.024125701051263434,0.0,0.0,0.0,0.0,-0.03925880471358456
1779692055206196200,0.02367402478697708,0.0,0.0,0.0,0.0,-0.0298724393141635
1779692055307441471,0.02330580618225767,0.0,0.0,0.0,0.0,-0.0240772829990763
1779692055406724332,0.02300969920829375,0.0,0.0,0.0,0.0,-0.019731281714233107
1779692055506298255,0.022728780335405256,0.0,0.0,0.0,0.0,-0.01649705141908775
1779692055606740390,0.02229978038679094,0.0,0.0,0.0,0.0,-0.01248795802890168
1779692055706504227,0.021969506586824495,0.0,0.0,0.0,0.0,-0.00964409132177324
1779692055806327475,0.021673366057580294,0.0,0.0,0.0,0.0,-0.007794200205610391
1779692055906765380,0.02123296185647167,0.0,0.0,0.0,0.0,-0.005343720434905497
1779692056006888592,0.020963413478304674,0.0,0.0,0.0,0.0,-0.004481715977613376
1779692056106514450,0.020701430119129647,0.0,0.0,0.0,0.0,-0.0030160764461240053
1779692056206843798,0.02038631194020937,0.0,0.0,0.0,0.0,-0.0017068492688259163
1779692056306408129,0.02010534105980689,0.0,0.0,0.0,0.0,-0.00010656843468714872
1779692056406453635,0.019733282851711414,0.0,0.0,0.0,0.0,0.000644363461922981
1779692056506603474,0.01947891058081819,0.0,0.0,0.0,0.0,0.0006911681006463999
1779692056606277346,0.019072656774267803,0.0,0.0,0.0,0.0,0.0006579637371346703
1779692056706623137,0.018837271129554647,0.0,0.0,0.0,0.0,0.0016844788929735177
1779692056806753562,0.018586694856119093,0.0,0.0,0.0,0.0,0.00245916342796082
1779692056906765903,0.01833233545670898,0.0,0.0,0.0,0.0,0.0028334084706366225
1779692057006418946,0.018093151531417138,0.0,0.0,0.0,0.0,0.0025521613380499186
1779692057114321796,0.0,0.0,0.0,0.0,0.0,0.0
1779692057206244379,0.0,0.0,0.0,0.0,0.0,-0.09883551960774484
1779692057306825590,0.0,0.0,0.0,0.0,0.0,-0.10078752561888882
1779692057406701471,0.0,0.0,0.0,0.0,0.0,-0.0996264753555729
1779692057506263271,0.0,0.0,0.0,0.0,0.0,-0.09062879391607748
1779692057606537167,0.024560870976787844,0.0,0.0,0.0,0.0,-0.08153795160471222
1779692057706431582,0.024557058365243935,0.0,0.0,0.0,0.0,-0.06331616032455822
1779692057806388267,0.024382539525893775,0.0,0.0,0.0,0.0,-0.05305366937876699
1779692057907400041,0.024094145199386862,0.0,0.0,0.0,0.0,-0.043339857425910955
1779692058006274046,0.023669060422996577,0.0,0.0,0.0,0.0,-0.03355867684227665
1779692058106502065,0.02336159601855177,0.0,0.0,0.0,0.0,-0.028152438603471386
1779692058207134670,0.022890898149148974,0.0,0.0,0.0,0.0,-0.020572138821385866
1779692058306559551,0.022575798311180634,0.0,0.0,0.0,0.0,-0.016737562844085674
1779692058406472031,0.022294845345976293,0.0,0.0,0.0,0.0,-0.014083530570246139
1779692058506581271,0.02202907931371188,0.0,0.0,0.0,0.0,-0.011934098871728582
1779692058606606256,0.02162286972387862,0.0,0.0,0.0,0.0,-0.009064104404122308
1779692058706802026,0.0213153481672247,0.0,0.0,0.0,0.0,-0.007653656858267688
1779692058806734618,0.021004027212846395,0.0,0.0,0.0,0.0,-0.005657632474958096
1779692058906711328,0.020715495847075726,0.0,0.0,0.0,0.0,-0.004349072056543779
1779692059006797641,0.020316875774059967,0.0,0.0,0.0,0.0,-0.0028376661243605383
1779692059106399097,0.02003973115745718,0.0,0.0,0.0,0.0,-0.0006945763921141213
1779692059206656822,0.01975879644197018,0.0,0.0,0.0,0.0,0.0013596268451665505
1779692059306896928,0.019485438777081584,0.0,0.0,0.0,0.0,0.0021540807552534735
1779692059406887902,0.019242451759940573,0.0,0.0,0.0,0.0,0.0016723423410767158
1779692059506377641,0.018881792594895183,0.0,0.0,0.0,0.0,0.0021700293645610103
1779692059606289753,0.01862363575863897,0.0,0.0,0.0,0.0,0.0027827962285119634
1779692059706581150,0.018259160773467637,0.0,0.0,0.0,0.0,0.004566235541567987
1779692059806475821,0.01801617609157538,0.0,0.0,0.0,0.0,0.004350009703749325
1779692059916397389,0.0,0.0,0.0,0.0,0.0,0.0
1779692060006233771,0.02497490490618121,0.0,0.0,0.0,0.0,-0.06489104937202272
1779692060106849832,0.024811805666856025,0.0,0.0,0.0,0.0,-0.065153091207651
1779692060206466340,0.024565255844028532,0.0,0.0,0.0,0.0,-0.06369554396391153
1779692060306485574,0.024246596300920197,0.0,0.0,0.0,0.0,-0.057617617454062575
1779692060406446799,0.023897542681916756,0.0,0.0,0.0,0.0,-0.04983850910923493
1779692060506781538,0.023487692826469626,0.0,0.0,0.0,0.0,-0.040215042676652546
1779692060607237731,0.023149896961115406,0.0,0.0,0.0,0.0,-0.032316628908673484
1779692060706394224,0.022664010454121218,0.0,0.0,0.0,0.0,-0.02319652911578307
1779692060806465980,0.022375493881237572,0.0,0.0,0.0,0.0,-0.01945126491227578
1779692060906873009,0.022083192981975277,0.0,0.0,0.0,0.0,-0.016184018037220027
